Model,Train_F1,Val_F1,Test_F1,Test_AUC,Overfit_Gap
ResidualNN,0.3673742021671367,0.8316762602476888,0.8377268058883944,0.937685075435744,-0.46430205808055214
SimpleNN,0.37140436816323524,0.8214285714285714,0.8303874915023792,0.9346342196814742,-0.45002420326533615
AttentionNN,0.3625779313453016,0.8220533663191376,0.8254243158988569,0.9377448995646929,-0.459475434973836
DeepNN_Dropout,0.3643416580464017,0.8199340163222782,0.8248051507963403,0.9356690267652663,-0.4555923582758766
WideDeepNN,0.36993193252441553,0.8207711010767628,0.8240489130434783,0.9355233300117132,-0.45083916855234724
